Student_ID,Gender,Age,Grade_Level,Attendance,Study_Hours_Per_Day,Previous_GPA,Midterm_Score,Assignment_Score,Quiz_Score,Final_Exam_Score,Class_Participation,Extracurricular,Internet_Access,Parent_Education,Family_Income,Sleep_Hours,Screen_Time,Stress_Level,Teacher_Feedback,Absences,Final_Result,Performance
1,Male,15,9,90,1.8,2.28,72,61,60,63,Low,Yes,Yes,Postgraduate,Low,7.8,2.7,High,Excellent,8,Pass,Average
2,Male,18,11,64,4.1,3.52,100,55,79,78,Low,Yes,No,High School,Medium,5.8,7.1,Medium,Good,14,Pass,Good
3,Male,15,College-2,52,6.1,2.76,100,55,80,81,Low,No,Yes,High School,Low,6.9,7.8,Medium,Good,17,Pass,Good
4,Male,17,12,79,5.4,2.42,92,76,78,87,Medium,No,Yes,Postgraduate,Medium,6.1,3.6,Low,Average,11,Pass,Excellent
5,Female,22,10,52,6.6,3.83,100,59,77,79,Medium,Yes,Yes,Postgraduate,High,6.3,1.5,High,Good,17,Pass,Good
6,Male,16,10,97,5.1,2.44,92,80,93,94,High,Yes,No,Postgraduate,Low,8.5,3.8,Medium,Excellent,6,Pass,Excellent
7,Male,19,12,88,8.0,3.72,100,77,88,96,Low,No,Yes,Postgraduate,High,6.9,7.8,Medium,Average,8,Pass,Excellent
8,Male,15,College-1,82,7.4,3.28,100,74,83,92,Medium,No,Yes,High School,Medium,8.4,3.1,Medium,Average,10,Pass,Excellent
9,Female,17,11,53,2.7,3.46,92,47,65,68,High,No,Yes,Postgraduate,High,7.1,1.6,High,Average,17,Pass,Average
10,Male,16,11,95,3.2,2.88,100,67,78,85,Low,Yes,Yes,High School,Low,9.0,5.5,High,Poor,7,Pass,Excellent
11,Male,22,10,64,1.5,3.03,86,44,63,58,Medium,No,Yes,High School,Low,4.6,3.3,High,Excellent,14,Pass,Average
12,Female,16,10,72,4.0,3.35,100,49,67,73,Low,Yes,No,High School,Medium,6.6,6.1,Low,Good,12,Pass,Good
13,Male,16,10,79,2.7,3.72,100,46,66,68,Low,No,No,Graduate,Low,8.7,4.1,Medium,Poor,11,Pass,Average
14,Female,17,10,60,3.7,3.57,100,47,78,70,Medium,Yes,Yes,Postgraduate,High,8.9,2.9,High,Poor,15,Pass,Good
15,Male,17,9,97,3.2,3.84,100,59,72,77,High,Yes,Yes,Graduate,Low,4.7,4.3,High,Average,6,Pass,Good
16,Female,18,11,87,5.2,3.17,100,69,84,89,Medium,Yes,No,Graduate,Medium,7.3,3.9,Low,Poor,9,Pass,Excellent
17,Male,18,11,79,5.3,3.08,100,64,78,84,Medium,Yes,No,Postgraduate,High,7.0,1.7,Medium,Poor,11,Pass,Good
18,Male,19,11,92,6.7,3.88,100,77,83,97,High,Yes,No,High School,High,5.8,5.6,High,Good,7,Pass,Excellent
19,Female,17,College-2,82,4.4,2.18,89,61,68,81,Medium,Yes,No,Postgraduate,High,8.6,6.9,Medium,Poor,10,Pass,Good
20,Male,15,11,57,1.5,3.09,89,44,62,60,Medium,Yes,No,High School,High,8.5,7.3,Low,Poor,16,Pass,Average
21,Female,15,10,72,6.5,3.24,100,65,79,88,High,No,No,Postgraduate,High,8.5,3.8,Low,Good,12,Pass,Excellent
22,Female,18,10,60,6.5,3.72,100,58,85,83,Low,Yes,No,Graduate,Medium,5.0,7.1,Low,Good,15,Pass,Good
23,Female,15,9,72,5.5,3.07,97,56,76,82,High,No,No,Postgraduate,Medium,6.3,7.9,Medium,Poor,12,Pass,Good
24,Female,16,College-2,74,7.3,2.87,100,80,88,93,Medium,No,Yes,Postgraduate,Medium,5.4,1.3,High,Good,12,Pass,Excellent
25,Female,15,11,92,3.9,2.25,91,67,76,81,Medium,Yes,No,Postgraduate,High,6.3,3.1,High,Good,7,Pass,Good
26,Female,16,10,79,4.1,3.59,100,52,77,75,High,No,Yes,High School,Low,7.5,4.6,Low,Poor,11,Pass,Good
27,Female,21,10,65,7.9,2.91,100,80,88,92,Low,Yes,Yes,Graduate,Low,7.3,6.4,Low,Excellent,14,Pass,Excellent
28,Female,22,10,53,4.9,2.27,86,57,73,69,High,No,No,Graduate,Low,8.6,1.8,High,Good,17,Pass,Average
29,Female,16,10,99,6.4,2.88,100,78,89,94,Low,Yes,No,Postgraduate,Low,6.7,2.7,High,Average,6,Pass,Excellent
30,Female,15,11,54,3.9,2.12,78,48,55,60,Medium,No,No,Postgraduate,High,6.0,4.3,High,Average,17,Pass,Average
31,Male,21,College-1,81,2.5,2.67,90,48,75,73,High,Yes,Yes,Postgraduate,Medium,6.5,1.2,Low,Excellent,10,Pass,Good
32,Male,22,9,61,1.4,2.65,81,35,63,57,High,Yes,No,High School,High,6.2,2.5,Low,Poor,15,Pass,Average
33,Male,22,College-2,98,1.2,3.24,97,49,80,78,Medium,No,Yes,Postgraduate,High,5.6,6.9,High,Poor,6,Pass,Good
34,Male,16,College-1,99,6.7,2.05,95,91,97,97,High,Yes,Yes,Postgraduate,Medium,8.8,1.8,High,Poor,6,Pass,Excellent
35,Male,21,12,100,7.9,2.86,100,81,98,100,Low,No,No,Postgraduate,Medium,8.0,3.4,High,Average,5,Pass,Excellent
36,Female,20,10,77,2.2,3.23,100,54,83,75,Low,No,No,High School,Medium,6.8,5.6,High,Excellent,11,Pass,Good
37,Male,18,9,71,1.2,2.42,73,41,57,56,Low,No,No,Postgraduate,Low,8.3,2.3,High,Excellent,13,Pass,Average
38,Female,20,12,91,6.0,2.59,100,72,87,91,High,No,No,Postgraduate,Medium,6.5,1.1,Medium,Good,8,Pass,Excellent
39,Female,19,9,66,2.6,3.49,98,42,68,66,Low,No,Yes,Graduate,Low,7.7,3.2,Medium,Poor,14,Pass,Average
40,Male,19,12,95,4.7,3.11,100,81,97,97,Medium,No,No,High School,Low,5.7,7.8,Medium,Excellent,7,Pass,Excellent
41,Male,18,9,57,6.8,3.26,100,56,74,81,High,No,Yes,Postgraduate,Medium,6.3,1.5,Medium,Excellent,16,Pass,Good
